,카테고리,time,강수량
341,닭갈비,2024-06-18,0.0
342,닭갈비,2024-06-08,16.9
343,닭갈비,2024-07-03,0.8
344,닭갈비,2024-06-30,32.2
345,닭갈비,2024-06-29,38.3
346,닭갈비,2024-07-06,2.8
347,닭갈비,2024-06-29,38.3
348,닭갈비,2024-06-25,0.0
349,닭갈비,2024-06-05,0.0
350,닭갈비,2024-07-07,28.7
351,닭갈비,2024-06-04,0.0
352,닭갈비,2024-06-28,0.0
353,닭갈비,2024-06-12,0.0
354,닭갈비,2024-07-06,2.8
355,닭갈비,2024-06-17,0.0
356,닭갈비,2024-06-23,5.1
357,닭갈비,2024-05-26,8.7
358,닭갈비,2024-06-26,0.0
359,닭갈비,2024-07-01,0.0
360,닭갈비,2024-07-07,28.7
361,닭갈비,2024-05-17,0.0
362,닭갈비,2024-06-19,0.0
363,닭갈비,2024-06-26,0.0
364,닭갈비,2024-07-06,2.8
365,닭갈비,2024-06-29,38.3
366,닭갈비,2024-07-05,4.1
367,닭갈비,2024-05-12,0.0
368,닭갈비,2024-06-14,0.0
369,닭갈비,2024-06-15,6.1
370,닭갈비,2024-07-02,65.1
371,닭갈비,2024-07-03,0.8
372,닭갈비,2024-06-23,5.1
373,닭갈비,2024-07-06,2.8
374,닭갈비,2024-06-26,0.0
375,닭갈비,2024-06-12,0.0
376,닭갈비,2024-07-06,2.8
377,닭갈비,2024-06-27,0.0
378,닭갈비,2024-06-23,5.1
379,닭갈비,2024-06-04,0.0
380,닭갈비,2024-06-08,16.9
381,닭갈비,2024-04-28,0.0
382,닭갈비,2024-06-23,5.1
383,닭갈비,2024-06-11,0.0
384,닭갈비,2024-07-01,0.0
385,닭갈비,2024-06-24,0.0
386,닭갈비,2024-06-07,0.8
387,닭갈비,2024-06-03,0.0
388,닭갈비,2024-05-30,0.0
389,닭갈비,2024-06-29,38.3
390,닭갈비,2024-06-04,0.0
391,닭갈비,2024-06-09,0.0
392,닭갈비,2024-07-01,0.0
393,닭갈비,2024-07-01,0.0
394,닭갈비,2024-06-24,0.0
395,닭갈비,2024-06-26,0.0
396,닭갈비,2024-06-10,0.0
397,닭갈비,2024-07-07,28.7
398,닭갈비,2024-06-29,38.3
399,닭갈비,2024-05-15,20.6
400,닭갈비,2024-07-06,2.8
401,닭갈비,2024-06-14,0.0
402,닭갈비,2024-06-12,0.0
403,닭갈비,2024-05-29,0.0
404,닭갈비,2024-06-08,16.9
405,닭갈비,2024-07-07,28.7
406,닭갈비,2024-06-28,0.0
407,닭갈비,2024-07-02,65.1
408,닭갈비,2024-05-09,0.0
409,닭갈비,2024-06-28,0.0
410,닭갈비,2024-06-10,0.0
411,닭갈비,2024-07-03,0.8
412,닭갈비,2024-06-15,6.1
413,닭갈비,2024-06-12,0.0
414,닭갈비,2024-06-11,0.0
415,닭갈비,2024-05-23,0.0
416,닭갈비,2024-06-03,0.0
417,닭갈비,2024-07-06,2.8
418,닭갈비,2024-07-03,0.8
419,닭갈비,2024-06-08,16.9
420,닭갈비,2024-06-21,0.0
421,닭갈비,2024-06-23,5.1
422,닭갈비,2024-06-16,0.0
423,닭갈비,2024-05-26,8.7
424,닭갈비,2024-05-27,0.0
425,닭갈비,2024-06-28,0.0
426,닭갈비,2024-06-14,0.0
427,닭갈비,2024-07-01,0.0
428,닭갈비,2024-05-16,0.1
429,닭갈비,2024-06-29,38.3
430,닭갈비,2024-06-21,0.0
431,닭갈비,2024-06-25,0.0
432,닭갈비,2024-07-07,28.7
433,닭갈비,2024-07-03,0.8
434,닭갈비,2024-05-18,0.0
435,닭갈비,2024-05-02,0.0
436,닭갈비,2024-05-10,0.0
437,닭갈비,2024-06-05,0.0
438,닭갈비,2024-06-08,16.9
439,닭갈비,2024-04-19,0.0
440,닭갈비,2024-05-23,0.0
441,닭갈비,2024-06-30,32.2
442,닭갈비,2024-05-25,0.0
443,닭갈비,2024-06-02,0.0
444,닭갈비,2024-06-24,0.0
445,닭갈비,2024-07-07,28.7
446,닭갈비,2024-06-25,0.0
447,닭갈비,2024-06-25,0.0
448,닭갈비,2024-05-30,0.0
449,닭갈비,2024-05-16,0.1
450,닭갈비,2024-06-15,6.1
451,닭갈비,2024-06-05,0.0
452,닭갈비,2024-06-07,0.8
453,닭갈비,2024-06-08,16.9
454,닭갈비,2024-06-17,0.0
455,닭갈비,2024-05-06,12.3
456,닭갈비,2024-06-14,0.0
457,닭갈비,2024-05-24,0.0
458,닭갈비,2024-06-30,32.2
459,닭갈비,2024-07-07,28.7
460,닭갈비,2024-05-09,0.0
461,닭갈비,2024-05-24,0.0
462,닭갈비,2024-06-25,0.0
463,닭갈비,2024-06-28,0.0
464,닭갈비,2024-06-21,0.0
465,닭갈비,2024-07-06,2.8
466,닭갈비,2024-06-24,0.0
467,닭갈비,2024-07-03,0.8
468,닭갈비,2024-05-24,0.0
469,닭갈비,2024-06-15,6.1
470,닭갈비,2024-05-12,0.0
471,닭갈비,2024-06-30,32.2
472,닭갈비,2024-06-30,32.2
473,닭갈비,2024-06-23,5.1
474,닭갈비,2024-06-25,0.0
475,닭갈비,2024-07-02,65.1
476,닭갈비,2024-03-26,11.5
477,닭갈비,2024-06-21,0.0
478,닭갈비,2024-05-05,48.3
479,닭갈비,2024-06-23,5.1
480,닭갈비,2024-07-07,28.7
481,닭갈비,2024-06-08,16.9
482,닭갈비,2024-03-25,5.1
483,닭갈비,2024-04-20,4.8
484,닭갈비,2024-06-07,0.8
485,닭갈비,2024-05-30,0.0
486,닭갈비,2024-06-29,38.3
487,닭갈비,2024-05-19,0.0
488,닭갈비,2024-04-26,0.0
489,닭갈비,2024-06-06,0.0
490,닭갈비,2024-06-29,38.3
491,닭갈비,2024-06-25,0.0
492,닭갈비,2024-06-15,6.1
493,닭갈비,2024-06-26,0.0
494,닭갈비,2024-06-26,0.0
495,닭갈비,2024-06-26,0.0
496,닭갈비,2024-06-24,0.0
497,닭갈비,2024-06-16,0.0
498,닭갈비,2024-06-23,5.1
499,닭갈비,2024-05-30,0.0
500,퓨전음식,2024-05-28,0.0
501,퓨전음식,2024-06-29,38.3
502,퓨전음식,2024-06-09,0.0
503,퓨전음식,2024-06-16,0.0
504,퓨전음식,2024-06-20,0.0
505,퓨전음식,2024-05-29,0.0
506,퓨전음식,2024-06-05,0.0
507,퓨전음식,2024-05-24,0.0
508,퓨전음식,2024-05-25,0.0
509,퓨전음식,2024-03-22,5.4
510,퓨전음식,2024-06-04,0.0
511,퓨전음식,2024-05-13,0.0
512,퓨전음식,2024-04-11,0.0
513,퓨전음식,2024-05-07,2.4
514,퓨전음식,2024-06-11,0.0
515,퓨전음식,2024-05-15,20.6
516,퓨전음식,2024-06-12,0.0
517,퓨전음식,2024-06-28,0.0
518,퓨전음식,2024-03-02,0.0
519,퓨전음식,2024-03-10,0.0
520,퓨전음식,2024-03-09,0.0
521,퓨전음식,2024-07-06,2.8
522,퓨전음식,2024-03-16,0.0
523,퓨전음식,2024-05-08,0.0
524,퓨전음식,2024-04-19,0.0
525,퓨전음식,2024-06-22,16.5
