가게 이름,댓글,작성 날짜
"멕시코,남미음식",음식도 빨리나오고 너무 맛있게 잘 먹었습니다-!,7.1.월
"멕시코,남미음식",메뉴구성이 알차네요~ 맛있게 잘 먹었습니다~!!,5.25.토
"멕시코,남미음식","남친이 또띠아를 좋아해서 왔는데 잘먹드라고여 ㅎ
예상 밖으로 넘 잘먹어서 좋네요 ㅎ
밥먹으로 잘 온거 같아요 ㅎ",6.9.일
"멕시코,남미음식","재료들이 신선하고 진짜 딱 맛있는 타고집이었어요! 워낙 유명한집이라 맛은 보장되어있는 맛집입니다. 다른 비싼 타코집들이 많은데, 여긴 구성에 비...",1.16.화
"멕시코,남미음식","주말엔 웨이팅이 너무 길어 실패했다가 평일에 오픈 직후에 왔더니 바로 들어왔어요. 둘이서 세트로 먹으니 배부르고, 맛있어요. 매장도 예뻐요!",4.26.금
"멕시코,남미음식",회사 회식으로 방문했는데 양도많고 맛있었어요!!,5.21.화
"멕시코,남미음식","멕시코 음식을 풍성하고 맛있게 먹을 수 있는 집!
재미와 맛 둘 다 잡았습니다!
I GOD EAT!🫢",3.30.토
"멕시코,남미음식",아이랑 같이 갔는데 친절하시고 잘 챙겨주셨어요! 음식은 늘 맛있고 양도 많아요. 또띠아 리필되는게 특히 좋아요~ 화장실도 깨끗합니다 ^^,6.23.일
"멕시코,남미음식",양도 푸짐하고 맛없는거 없이 다 맛있어요,6.13.목
"멕시코,남미음식","너무너무 맛있었어요! 양도많고 맛도있고 음식도 빨
리나오고 따뜻하게 잘 먹었습니다! 특히 애플모히또
는 꼭 시켜서 같이드세요 깔끔한맛이 타코와잘...",5.18.토
"멕시코,남미음식",진짜 항상 너무맛있는 갓잇ㅜㅜ 보울 처음시켜봤는데 진짜 JMT입니다 3명이서가면 세트 하나에 타코하나 추가하고 저 보울 추가하세여 ㅜㅜㅜㅜㅜㅜㅜ...,4.22.월
"멕시코,남미음식","음식이 너무 맛있었어요! 타코를 처음 먹어보는 친구도 맛있다고 잘 먹어서 즐거운 식사 시간이였네요:)
다음에 또 방문할게요!",4.14.일
"멕시코,남미음식","갓잇도산의 메뉴대부분 너무 맛있어요~ 특히 감튀가 
완전 취향저격ㅎㅎ 타코도 맛있고~ 새우추가해서 맛
있게 세트 메뉴 먹었어요~ 담에 또 고고고!!!",5.16.목
"멕시코,남미음식",너무 맛나서 담에 또올게요 아갓잇 오예에에,6.12.수
"멕시코,남미음식",이미 유명한 갓잇!!! 처음 먹어보고 맛있어서 도산공 원점으로 방문해봤는데 역시나 맛있네요🤍 파히타 랑 타코 존맛이에요ㅠㅠ 감자튀김도 딱 내스타...,1.28.일
"멕시코,남미음식",쉬림프 타코가 진짜 너무 맛있어요!! 5개도 먹을 수 있 을 거 같아요!! 매장도 너무 예쁘고 넓어서 데이트코 스로 적극 추천합니다!! 소스도 넉넉하고 한 끼 ...,3.27.수
"멕시코,남미음식",B세트 항상 먹는데 도산점은 처음인데 분위기도 좋고 친절하시고 b세트에 파히타에 새우로 시키세용!!!🤗💛,6.4.화
"멕시코,남미음식",너무맛있어요!! 직원분들이 다 친절하셔요 행복한 시간 보냈습니당💕,6.19.수
"멕시코,남미음식",토요일 오후에 방문했는데 바로입장했어요! 내부도 넓고 깨끗해요 친목모임하기도 좋을 것 같아요. 세트메뉴도 많아서 좋아용 ㅋㅋㅋ 맛있어요💗,6.22.토
"멕시코,남미음식",도산공원점은 처음 와봤는데 자리가 넓어서 주말인데도 웨이팅 없이 바로 들어갔어요! 음식 맛있습니다 타코는 갓잇👍🏻,6.1.토
"멕시코,남미음식",파히타 B세트 먹었는데 진짜 너무 맛있어요 ㅠㅠ ㅠ ㅠ 들어가는 입구부터 무슨 다른세계로 들어가는 분 위기였는데 인테리어도 너무 좋았어요 튿히 음...,23.12.31.일.일
"멕시코,남미음식",갓잇 오 완전 맛있었어요. 저 타고 좋아하는데 요긴 진짜 짱짱!! 전날 가려다가 브렉탐 급박해서 딴 곳 갔 는데 완전 만족요~ 또 봐요 봐요. 🌮 🌮 🌮 ...,6.22.토
"멕시코,남미음식",도산공원 주변 고급스럽고 분위기 좋은 멕시칸 요리 맛집 푸짐하고 먹음직한 플레이팅에 신선한 재료들이 가득~ 또띠아에 다양한 소스 재료들 조합해서 ...,6.11.화
